instance,maxRuntime,variableSelection,valueSelection,restarts,solutionsOverTime,isOptimal,runtime,nodes,fails,restarts,memory,vars,varsWithoutView,constraints,args
data/jobshop/ValladaRuizFraminan2015/small/vrf_010_05_05.txt,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:826;t:0.589;nodes:227;fails:0;restarts:0)(obj:816;t:0.768;nodes:236;fails:43;restarts:0)(obj:814;t:1.387;nodes:250;fails:97;restarts:0)(obj:812;t:8.114;nodes:5352;fails:5194;restarts:0)(obj:801;t:8.805;nodes:6360;fails:6197;restarts:0)(obj:797;t:63.074;nodes:168579;fails:168467;restarts:0)(obj:794;t:63.076;nodes:168588;fails:168475;restarts:0)(obj:792;t:216.399;nodes:513778;fails:513648;restarts:0)(obj:790;t:218.882;nodes:520830;fails:520717;restarts:0)(obj:789;t:218.887;nodes:520844;fails:520732;restarts:0),false,1800.073,3814343,3814265,0,2048.00,592,276,496,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/jobshop/ValladaRuizFraminan2015/small/vrf_010_05_05.txt
data/jobshop/ValladaRuizFraminan2015/small/vrf_010_10_03.txt,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:1191;t:0.627;nodes:452;fails:0;restarts:0)(obj:1187;t:0.721;nodes:469;fails:79;restarts:0)(obj:1180;t:0.863;nodes:487;fails:95;restarts:0)(obj:1159;t:2.000;nodes:534;fails:193;restarts:0)(obj:1154;t:3.815;nodes:696;fails:366;restarts:0)(obj:1150;t:3.851;nodes:703;fails:409;restarts:0)(obj:1149;t:42.804;nodes:64086;fails:63817;restarts:0)(obj:1146;t:71.595;nodes:111501;fails:111242;restarts:0),false,1800.047,2035423,2035182,0,2048.00,1161,551,1001,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/jobshop/ValladaRuizFraminan2015/small/vrf_010_10_03.txt
data/jobshop/ValladaRuizFraminan2015/small/vrf_010_10_09.txt,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:1243;t:1.014;nodes:452;fails:0;restarts:0)(obj:1227;t:1.162;nodes:481;fails:76;restarts:0)(obj:1218;t:1.485;nodes:485;fails:117;restarts:0)(obj:1215;t:2.510;nodes:509;fails:177;restarts:0)(obj:1198;t:2.861;nodes:570;fails:207;restarts:0)(obj:1189;t:2.870;nodes:574;fails:243;restarts:0)(obj:1183;t:4.118;nodes:613;fails:334;restarts:0)(obj:1171;t:4.249;nodes:685;fails:374;restarts:0)(obj:1162;t:4.272;nodes:705;fails:407;restarts:0)(obj:1161;t:4.630;nodes:760;fails:463;restarts:0)(obj:1158;t:4.678;nodes:793;fails:494;restarts:0)(obj:1140;t:4.691;nodes:845;fails:529;restarts:0)(obj:1131;t:4.723;nodes:850;fails:556;restarts:0)(obj:1120;t:4.817;nodes:898;fails:584;restarts:0)(obj:1113;t:4.866;nodes:900;fails:609;restarts:0)(obj:1112;t:5.052;nodes:920;fails:658;restarts:0)(obj:1111;t:5.169;nodes:976;fails:713;restarts:0)(obj:1107;t:6.009;nodes:1227;fails:987;restarts:0)(obj:1104;t:9.527;nodes:3371;fails:3123;restarts:0)(obj:1099;t:9.532;nodes:3400;fails:3142;restarts:0)(obj:1087;t:9.550;nodes:3449;fails:3191;restarts:0)(obj:1081;t:11.442;nodes:4453;fails:4213;restarts:0)(obj:1079;t:11.652;nodes:4643;fails:4403;restarts:0)(obj:1073;t:11.793;nodes:4831;fails:4583;restarts:0),false,1800.051,2166333,2166111,0,2048.00,1164,551,1001,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/jobshop/ValladaRuizFraminan2015/small/vrf_010_10_09.txt
data/jobshop/ValladaRuizFraminan2015/small/vrf_010_10_07.txt,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:1306;t:0.784;nodes:452;fails:0;restarts:0)(obj:1290;t:0.864;nodes:497;fails:75;restarts:0)(obj:1268;t:0.962;nodes:532;fails:122;restarts:0)(obj:1255;t:1.146;nodes:539;fails:166;restarts:0)(obj:1249;t:2.141;nodes:572;fails:239;restarts:0)(obj:1241;t:2.284;nodes:608;fails:271;restarts:0)(obj:1238;t:2.323;nodes:632;fails:298;restarts:0)(obj:1224;t:2.388;nodes:656;fails:321;restarts:0)(obj:1220;t:6.511;nodes:1149;fails:941;restarts:0)(obj:1219;t:6.612;nodes:1198;fails:985;restarts:0)(obj:1218;t:6.664;nodes:1233;fails:1024;restarts:0)(obj:1215;t:6.781;nodes:1256;fails:1047;restarts:0)(obj:1213;t:6.787;nodes:1276;fails:1068;restarts:0)(obj:1212;t:10.371;nodes:3217;fails:3035;restarts:0)(obj:1211;t:10.383;nodes:3252;fails:3063;restarts:0)(obj:1207;t:11.976;nodes:4631;fails:4428;restarts:0)(obj:1198;t:12.035;nodes:4679;fails:4473;restarts:0)(obj:1196;t:12.871;nodes:5296;fails:5109;restarts:0)(obj:1191;t:12.876;nodes:5330;fails:5139;restarts:0)(obj:1189;t:12.884;nodes:5365;fails:5173;restarts:0)(obj:1185;t:12.893;nodes:5401;fails:5207;restarts:0)(obj:1180;t:12.993;nodes:5502;fails:5309;restarts:0)(obj:1175;t:12.997;nodes:5540;fails:5348;restarts:0)(obj:1174;t:13.019;nodes:5621;fails:5394;restarts:0)(obj:1169;t:13.023;nodes:5642;fails:5413;restarts:0)(obj:1166;t:13.026;nodes:5664;fails:5434;restarts:0)(obj:1163;t:13.034;nodes:5709;fails:5460;restarts:0)(obj:1155;t:13.043;nodes:5757;fails:5506;restarts:0)(obj:1150;t:13.046;nodes:5802;fails:5550;restarts:0)(obj:1146;t:13.176;nodes:5931;fails:5710;restarts:0)(obj:1145;t:13.203;nodes:5979;fails:5758;restarts:0)(obj:1144;t:13.220;nodes:6018;fails:5799;restarts:0)(obj:1141;t:13.227;nodes:6044;fails:5823;restarts:0)(obj:1139;t:13.233;nodes:6067;fails:5847;restarts:0)(obj:1135;t:15.282;nodes:7531;fails:7304;restarts:0)(obj:1133;t:15.312;nodes:7572;fails:7351;restarts:0)(obj:1131;t:15.320;nodes:7602;fails:7387;restarts:0)(obj:1126;t:15.324;nodes:7633;fails:7414;restarts:0)(obj:1123;t:17.288;nodes:9150;fails:8924;restarts:0)(obj:1118;t:17.293;nodes:9199;fails:8972;restarts:0)(obj:1112;t:17.316;nodes:9241;fails:9025;restarts:0)(obj:1109;t:17.319;nodes:9276;fails:9063;restarts:0)(obj:1107;t:17.324;nodes:9310;fails:9095;restarts:0)(obj:1105;t:19.433;nodes:10629;fails:10415;restarts:0)(obj:1104;t:19.506;nodes:10685;fails:10477;restarts:0)(obj:1100;t:20.321;nodes:11267;fails:11076;restarts:0)(obj:1095;t:20.325;nodes:11302;fails:11110;restarts:0)(obj:1090;t:102.647;nodes:74772;fails:74541;restarts:0)(obj:1085;t:102.650;nodes:74801;fails:74569;restarts:0)(obj:1084;t:102.671;nodes:74835;fails:74607;restarts:0)(obj:1080;t:113.332;nodes:83410;fails:83166;restarts:0)(obj:1078;t:113.340;nodes:83441;fails:83208;restarts:0)(obj:1077;t:115.445;nodes:84948;fails:84746;restarts:0)(obj:1067;t:115.450;nodes:84975;fails:84766;restarts:0)(obj:1062;t:115.453;nodes:84995;fails:84788;restarts:0)(obj:1061;t:120.776;nodes:89220;fails:88994;restarts:0)(obj:1060;t:120.778;nodes:89233;fails:89005;restarts:0)(obj:1057;t:327.336;nodes:247492;fails:247292;restarts:0)(obj:1055;t:344.718;nodes:261391;fails:261151;restarts:0)(obj:1053;t:676.910;nodes:519146;fails:518908;restarts:0)(obj:1052;t:677.528;nodes:519655;fails:519400;restarts:0)(obj:1050;t:891.074;nodes:711186;fails:710949;restarts:0)(obj:1049;t:891.144;nodes:711267;fails:711020;restarts:0)(obj:1044;t:1526.746;nodes:1212633;fails:1212385;restarts:0)(obj:1039;t:1526.749;nodes:1212652;fails:1212404;restarts:0)(obj:1038;t:1527.484;nodes:1213283;fails:1213029;restarts:0)(obj:1035;t:1559.714;nodes:1239109;fails:1238834;restarts:0)(obj:1032;t:1559.778;nodes:1239161;fails:1238885;restarts:0)(obj:1031;t:1559.835;nodes:1239208;fails:1238930;restarts:0)(obj:1026;t:1559.837;nodes:1239219;fails:1238938;restarts:0),false,1800.047,1414884,1414694,0,2048.00,1166,551,1001,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/jobshop/ValladaRuizFraminan2015/small/vrf_010_10_07.txt
data/jobshop/ValladaRuizFraminan2015/small/vrf_020_05_09.txt,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:1615;t:1.680;nodes:952;fails:0;restarts:0)(obj:1608;t:2.132;nodes:963;fails:83;restarts:0)(obj:1600;t:4.480;nodes:983;fails:187;restarts:0)(obj:1574;t:4.690;nodes:1039;fails:201;restarts:0)(obj:1556;t:5.078;nodes:1093;fails:257;restarts:0)(obj:1538;t:5.187;nodes:1110;fails:299;restarts:0)(obj:1534;t:5.416;nodes:1121;fails:328;restarts:0)(obj:1532;t:7.578;nodes:1285;fails:569;restarts:0)(obj:1528;t:7.606;nodes:1300;fails:589;restarts:0)(obj:1523;t:8.814;nodes:1625;fails:940;restarts:0)(obj:1517;t:8.823;nodes:1632;fails:956;restarts:0)(obj:1515;t:8.877;nodes:1680;fails:991;restarts:0)(obj:1509;t:8.883;nodes:1686;fails:1010;restarts:0)(obj:1504;t:8.942;nodes:1699;fails:1035;restarts:0)(obj:1499;t:8.988;nodes:1712;fails:1049;restarts:0)(obj:1497;t:141.021;nodes:83969;fails:83346;restarts:0)(obj:1494;t:147.021;nodes:91691;fails:91036;restarts:0)(obj:1488;t:147.025;nodes:91694;fails:91040;restarts:0)(obj:1482;t:147.087;nodes:91717;fails:91080;restarts:0)(obj:1478;t:160.874;nodes:100083;fails:99449;restarts:0)(obj:1477;t:160.878;nodes:100087;fails:99457;restarts:0),false,1800.046,1132521,1131951,0,2048.00,2170,1051,1986,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/jobshop/ValladaRuizFraminan2015/small/vrf_020_05_09.txt
data/jobshop/ValladaRuizFraminan2015/small/vrf_020_10_04.txt,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:2079;t:5.901;nodes:1902;fails:0;restarts:0)(obj:2071;t:6.526;nodes:1960;fails:164;restarts:0)(obj:2065;t:6.758;nodes:2017;fails:222;restarts:0)(obj:2063;t:7.056;nodes:2070;fails:284;restarts:0)(obj:2062;t:7.613;nodes:2102;fails:347;restarts:0)(obj:2053;t:7.708;nodes:2150;fails:378;restarts:0)(obj:2052;t:10.683;nodes:2250;fails:640;restarts:0),false,1800.047,793729,792236,0,2048.00,4292,2101,3991,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/jobshop/ValladaRuizFraminan2015/small/vrf_020_10_04.txt
data/jobshop/ValladaRuizFraminan2015/small/vrf_010_10_01.txt,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:1280;t:1.211;nodes:452;fails:0;restarts:0)(obj:1278;t:1.773;nodes:492;fails:76;restarts:0)(obj:1277;t:3.250;nodes:544;fails:206;restarts:0)(obj:1276;t:3.420;nodes:587;fails:255;restarts:0)(obj:1275;t:3.560;nodes:629;fails:297;restarts:0)(obj:1257;t:679.357;nodes:1437353;fails:1437018;restarts:0)(obj:1254;t:679.375;nodes:1437366;fails:1437058;restarts:0),false,1800.047,2983566,2983334,0,2048.00,1165,551,1001,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/jobshop/ValladaRuizFraminan2015/small/vrf_010_10_01.txt
data/jobshop/ValladaRuizFraminan2015/small/vrf_010_20_07.txt,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:2145;t:3.703;nodes:902;fails:0;restarts:0)(obj:2140;t:9.150;nodes:1067;fails:449;restarts:0)(obj:2129;t:9.242;nodes:1218;fails:587;restarts:0)(obj:2112;t:9.528;nodes:1394;fails:768;restarts:0)(obj:2095;t:9.552;nodes:1470;fails:839;restarts:0)(obj:2093;t:9.976;nodes:1613;fails:1040;restarts:0)(obj:2086;t:9.997;nodes:1730;fails:1149;restarts:0)(obj:2066;t:10.182;nodes:1860;fails:1303;restarts:0),false,1800.041,670758,670376,0,2048.00,2289,1101,2011,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/jobshop/ValladaRuizFraminan2015/small/vrf_010_20_07.txt
data/jobshop/ValladaRuizFraminan2015/small/vrf_020_05_04.txt,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:1431;t:1.657;nodes:952;fails:0;restarts:0)(obj:1429;t:2.179;nodes:972;fails:81;restarts:0)(obj:1427;t:2.583;nodes:989;fails:108;restarts:0)(obj:1413;t:2.650;nodes:1010;fails:124;restarts:0)(obj:1411;t:4.264;nodes:1045;fails:227;restarts:0)(obj:1404;t:4.638;nodes:1111;fails:266;restarts:0)(obj:1402;t:4.684;nodes:1133;fails:306;restarts:0)(obj:1386;t:4.707;nodes:1157;fails:328;restarts:0)(obj:1374;t:6.681;nodes:1229;fails:484;restarts:0)(obj:1373;t:6.796;nodes:1278;fails:534;restarts:0)(obj:1368;t:11.455;nodes:9426;fails:8721;restarts:0)(obj:1366;t:11.471;nodes:9466;fails:8742;restarts:0)(obj:1364;t:11.477;nodes:9476;fails:8764;restarts:0)(obj:1350;t:11.481;nodes:9487;fails:8774;restarts:0)(obj:1341;t:12.592;nodes:12055;fails:11334;restarts:0)(obj:1340;t:12.596;nodes:12080;fails:11365;restarts:0)(obj:1339;t:12.603;nodes:12112;fails:11391;restarts:0)(obj:1337;t:12.666;nodes:12167;fails:11463;restarts:0)(obj:1333;t:12.713;nodes:12249;fails:11528;restarts:0)(obj:1331;t:12.747;nodes:12279;fails:11543;restarts:0)(obj:1329;t:12.768;nodes:12286;fails:11562;restarts:0)(obj:1315;t:12.772;nodes:12294;fails:11568;restarts:0)(obj:1314;t:12.782;nodes:12299;fails:11581;restarts:0)(obj:1312;t:42.757;nodes:127742;fails:127106;restarts:0)(obj:1308;t:42.764;nodes:127757;fails:127116;restarts:0)(obj:1307;t:43.138;nodes:128689;fails:128040;restarts:0)(obj:1300;t:43.155;nodes:128716;fails:128053;restarts:0)(obj:1299;t:43.170;nodes:128739;fails:128079;restarts:0),false,1800.042,1703352,1702736,0,2048.00,2159,1051,1986,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/jobshop/ValladaRuizFraminan2015/small/vrf_020_05_04.txt
data/jobshop/ValladaRuizFraminan2015/small/vrf_010_20_02.txt,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:2149;t:3.490;nodes:902;fails:0;restarts:0)(obj:2145;t:3.733;nodes:939;fails:150;restarts:0)(obj:2114;t:3.895;nodes:979;fails:187;restarts:0)(obj:2093;t:4.846;nodes:1024;fails:245;restarts:0)(obj:2079;t:6.684;nodes:1086;fails:370;restarts:0)(obj:2068;t:7.818;nodes:1143;fails:490;restarts:0)(obj:2062;t:88.418;nodes:52250;fails:51591;restarts:0)(obj:2058;t:88.426;nodes:52271;fails:51614;restarts:0)(obj:2047;t:88.772;nodes:52743;fails:52097;restarts:0)(obj:2045;t:103.919;nodes:60433;fails:59897;restarts:0)(obj:2042;t:132.223;nodes:75314;fails:74788;restarts:0)(obj:2041;t:132.230;nodes:75356;fails:74832;restarts:0)(obj:2039;t:132.239;nodes:75396;fails:74869;restarts:0)(obj:2038;t:132.247;nodes:75438;fails:74913;restarts:0)(obj:2037;t:132.785;nodes:76125;fails:75580;restarts:0)(obj:2033;t:132.795;nodes:76153;fails:75609;restarts:0)(obj:2028;t:132.800;nodes:76172;fails:75628;restarts:0),false,1800.038,849364,848857,0,2048.00,2290,1101,2011,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/jobshop/ValladaRuizFraminan2015/small/vrf_010_20_02.txt
