instance,maxRuntime,variableSelection,valueSelection,restarts,solutionsOverTime,isOptimal,runtime,nodes,fails,restarts,memory,vars,varsWithoutView,constraints,args
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_01.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.113,1,0,0,4320.00,202101,101001,199921,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_01.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_02.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.145,1,0,0,4304.00,202101,101001,199921,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_02.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_03.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.132,1,0,0,4352.00,202101,101001,199921,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_03.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_04.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.134,1,0,0,4192.00,202101,101001,199921,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_04.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_05.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.134,1,0,0,4240.00,202101,101001,199921,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_05.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_06.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.112,1,0,0,4304.00,202101,101001,199921,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_06.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_07.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.158,1,0,0,4416.00,202101,101001,199921,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_07.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_08.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.183,1,0,0,4224.00,202101,101001,199921,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_08.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_09.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.102,1,0,0,4352.00,202101,101001,199921,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_09.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_10.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.121,1,0,0,4256.00,202101,101001,199921,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_20_10.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_01.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,2.556,1,0,0,9168.00,404101,202001,399941,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_01.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_02.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,2.546,1,0,0,9472.00,404101,202001,399941,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_02.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_03.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,2.523,1,0,0,9328.00,404101,202001,399941,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_03.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_04.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,2.541,1,0,0,9120.00,404101,202001,399941,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_04.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_05.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,2.514,1,0,0,8416.00,404101,202001,399941,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_05.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_06.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,2.552,1,0,0,9408.00,404101,202001,399941,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_06.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_07.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,2.524,1,0,0,8928.00,404101,202001,399941,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_07.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_08.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,2.492,1,0,0,9088.00,404101,202001,399941,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_08.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_09.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,2.530,1,0,0,9168.00,404101,202001,399941,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_09.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_10.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,2.563,1,0,0,9344.00,404101,202001,399941,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_40_10.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_01.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,4.394,1,0,0,9712.00,606101,303001,599961,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_01.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_02.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,4.320,1,0,0,8192.00,606101,303001,599961,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_02.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_03.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,4.310,1,0,0,9184.00,606101,303001,599961,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_03.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_04.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,4.294,1,0,0,9616.00,606101,303001,599961,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_04.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_05.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,4.311,1,0,0,9168.00,606101,303001,599961,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_05.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_06.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,4.368,1,0,0,8976.00,606101,303001,599961,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_06.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_07.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,4.378,1,0,0,9408.00,606101,303001,599961,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_07.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_08.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,4.335,1,0,0,9232.00,606101,303001,599961,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_08.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_09.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,4.340,1,0,0,9504.00,606101,303001,599961,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_09.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_10.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,5.101,1,0,0,9184.00,606101,303001,599961,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_100_60_10.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_01.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,3.910,1,0,0,9056.00,804101,402001,799821,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_01.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_02.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,3.924,1,0,0,8624.00,804101,402001,799821,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_02.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_03.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,3.923,1,0,0,9072.00,804101,402001,799821,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_03.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_04.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,3.924,1,0,0,8192.00,804101,402001,799821,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_04.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_05.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,3.933,1,0,0,9328.00,804101,402001,799821,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_05.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_06.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,3.818,1,0,0,8960.00,804101,402001,799821,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_06.txt
data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_07.txt,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=BESTSUBSET;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,4.354,1,0,0,9440.00,804101,402001,799821,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/jobshop/ValladaRuizFraminan2015/large/vrf_200_20_07.txt
