instance,maxRuntime,variableSelection,valueSelection,restarts,solutionsOverTime,isOptimal,runtime,nodes,fails,restarts,memory,vars,varsWithoutView,constraints,args
data/qap/qapdata/esc16f.dat,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:0;t:0.283;nodes:16;fails:0;restarts:0),true,0.301,16,15,0,2048.00,291,272,274,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/qap/qapdata/esc16f.dat
data/qap/qapdata/esc32e.dat,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:12;t:0.929;nodes:32;fails:0;restarts:0)(obj:10;t:3.074;nodes:490;fails:459;restarts:0)(obj:2;t:3.122;nodes:507;fails:471;restarts:0),true,11.046,4664,4659,0,2048.00,1108,1066,1058,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/qap/qapdata/esc32e.dat
data/qap/qapdata/chr12a.dat,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:38610;t:0.599;nodes:12;fails:0;restarts:0)(obj:37290;t:0.604;nodes:15;fails:1;restarts:0)(obj:36960;t:0.617;nodes:19;fails:3;restarts:0)(obj:36644;t:0.651;nodes:27;fails:10;restarts:0)(obj:34586;t:0.708;nodes:39;fails:19;restarts:0)(obj:33962;t:0.738;nodes:50;fails:28;restarts:0)(obj:33850;t:1.458;nodes:84;fails:61;restarts:0)(obj:27788;t:1.545;nodes:100;fails:74;restarts:0)(obj:27308;t:1.546;nodes:102;fails:75;restarts:0)(obj:26684;t:1.551;nodes:107;fails:79;restarts:0)(obj:26572;t:1.628;nodes:114;fails:85;restarts:0)(obj:23340;t:2.412;nodes:146;fails:113;restarts:0)(obj:22020;t:2.419;nodes:150;fails:116;restarts:0)(obj:21958;t:2.583;nodes:166;fails:132;restarts:0)(obj:20320;t:2.718;nodes:186;fails:146;restarts:0)(obj:19634;t:2.720;nodes:193;fails:151;restarts:0)(obj:19554;t:2.739;nodes:201;fails:159;restarts:0)(obj:18662;t:3.883;nodes:257;fails:212;restarts:0)(obj:18212;t:6.541;nodes:495;fails:449;restarts:0)(obj:17108;t:7.572;nodes:560;fails:511;restarts:0)(obj:16478;t:7.860;nodes:613;fails:564;restarts:0)(obj:15054;t:7.886;nodes:625;fails:573;restarts:0)(obj:14774;t:9.063;nodes:868;fails:813;restarts:0)(obj:14094;t:9.063;nodes:869;fails:813;restarts:0)(obj:14090;t:9.065;nodes:872;fails:815;restarts:0)(obj:13924;t:9.090;nodes:898;fails:837;restarts:0)(obj:13604;t:9.901;nodes:1048;fails:986;restarts:0)(obj:13112;t:9.905;nodes:1056;fails:991;restarts:0)(obj:12346;t:9.906;nodes:1062;fails:995;restarts:0)(obj:11064;t:11.658;nodes:1611;fails:1542;restarts:0)(obj:10790;t:11.702;nodes:1621;fails:1551;restarts:0)(obj:10476;t:14.395;nodes:2392;fails:2320;restarts:0)(obj:9916;t:17.696;nodes:3288;fails:3213;restarts:0)(obj:9552;t:17.949;nodes:3388;fails:3312;restarts:0),true,21.030,4407,4340,0,5264.00,202,169,158,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/qap/qapdata/chr12a.dat
data/qap/qapdata/tai10b.dat,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:2529317;t:0.535;nodes:10;fails:0;restarts:0)(obj:2294613;t:0.536;nodes:11;fails:0;restarts:0)(obj:2176321;t:0.543;nodes:15;fails:2;restarts:0)(obj:2104890;t:0.544;nodes:16;fails:2;restarts:0)(obj:2053965;t:0.547;nodes:19;fails:2;restarts:0)(obj:2015005;t:0.550;nodes:21;fails:3;restarts:0)(obj:1961832;t:0.559;nodes:30;fails:9;restarts:0)(obj:1819512;t:0.572;nodes:40;fails:17;restarts:0)(obj:1782665;t:0.575;nodes:43;fails:18;restarts:0)(obj:1699087;t:0.590;nodes:55;fails:27;restarts:0)(obj:1686113;t:0.637;nodes:94;fails:64;restarts:0)(obj:1682137;t:0.789;nodes:236;fails:206;restarts:0)(obj:1643397;t:0.875;nodes:337;fails:304;restarts:0)(obj:1628661;t:0.876;nodes:339;fails:305;restarts:0)(obj:1604187;t:0.882;nodes:352;fails:316;restarts:0)(obj:1564579;t:3.209;nodes:2941;fails:2903;restarts:0)(obj:1430089;t:3.219;nodes:2972;fails:2930;restarts:0)(obj:1426492;t:4.317;nodes:3872;fails:3830;restarts:0)(obj:1420482;t:4.839;nodes:4547;fails:4503;restarts:0)(obj:1411510;t:4.840;nodes:4551;fails:4506;restarts:0)(obj:1402379;t:10.007;nodes:15641;fails:15594;restarts:0)(obj:1388715;t:10.067;nodes:15917;fails:15868;restarts:0)(obj:1338428;t:10.081;nodes:15976;fails:15922;restarts:0)(obj:1314311;t:10.084;nodes:15990;fails:15937;restarts:0)(obj:1309844;t:10.088;nodes:16009;fails:15952;restarts:0)(obj:1297951;t:10.371;nodes:16900;fails:16844;restarts:0)(obj:1293136;t:10.378;nodes:16934;fails:16874;restarts:0)(obj:1288121;t:13.502;nodes:27916;fails:27855;restarts:0)(obj:1280928;t:14.316;nodes:31475;fails:31411;restarts:0)(obj:1278087;t:14.317;nodes:31480;fails:31414;restarts:0)(obj:1252773;t:14.349;nodes:31636;fails:31568;restarts:0)(obj:1252144;t:22.109;nodes:62128;fails:62057;restarts:0)(obj:1247149;t:59.753;nodes:224226;fails:224152;restarts:0)(obj:1244848;t:82.897;nodes:318908;fails:318832;restarts:0)(obj:1242817;t:82.944;nodes:319119;fails:319042;restarts:0)(obj:1240695;t:83.678;nodes:322421;fails:322345;restarts:0)(obj:1221475;t:83.941;nodes:323590;fails:323510;restarts:0)(obj:1219466;t:84.066;nodes:324156;fails:324075;restarts:0)(obj:1218303;t:84.192;nodes:324707;fails:324621;restarts:0)(obj:1203337;t:84.626;nodes:326521;fails:326436;restarts:0)(obj:1202041;t:84.835;nodes:327389;fails:327300;restarts:0)(obj:1194443;t:85.563;nodes:330209;fails:330118;restarts:0)(obj:1187126;t:85.766;nodes:331008;fails:330916;restarts:0)(obj:1183760;t:120.090;nodes:467602;fails:467506;restarts:0),true,166.895,654904,654817,0,2048.00,222,121,112,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/qap/qapdata/tai10b.dat
data/qap/qapdata/tai10a.dat,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:187078;t:0.097;nodes:10;fails:0;restarts:0)(obj:186230;t:0.099;nodes:11;fails:0;restarts:0)(obj:182614;t:0.111;nodes:15;fails:2;restarts:0)(obj:175722;t:0.118;nodes:18;fails:3;restarts:0)(obj:156530;t:0.119;nodes:20;fails:3;restarts:0)(obj:153438;t:0.137;nodes:35;fails:15;restarts:0)(obj:149516;t:1.546;nodes:1174;fails:1153;restarts:0)(obj:148472;t:4.329;nodes:3802;fails:3778;restarts:0)(obj:147830;t:4.884;nodes:4616;fails:4591;restarts:0)(obj:147800;t:5.839;nodes:6002;fails:5975;restarts:0)(obj:143710;t:5.842;nodes:6012;fails:5982;restarts:0)(obj:143088;t:7.535;nodes:8804;fails:8772;restarts:0)(obj:140684;t:7.605;nodes:8892;fails:8858;restarts:0)(obj:140232;t:7.607;nodes:8900;fails:8864;restarts:0)(obj:138306;t:11.640;nodes:17876;fails:17838;restarts:0)(obj:138130;t:22.800;nodes:45451;fails:45412;restarts:0)(obj:136722;t:48.516;nodes:116936;fails:116895;restarts:0)(obj:136272;t:48.517;nodes:116941;fails:116898;restarts:0)(obj:135640;t:66.978;nodes:172328;fails:172284;restarts:0)(obj:135602;t:255.210;nodes:705581;fails:705534;restarts:0)(obj:135028;t:255.210;nodes:705584;fails:705535;restarts:0),true,279.184,777917,777876,0,2048.00,218,121,112,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/qap/qapdata/tai10a.dat
data/qap/qapdata/esc16g.dat,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:50;t:0.275;nodes:16;fails:0;restarts:0)(obj:46;t:0.286;nodes:21;fails:3;restarts:0)(obj:44;t:0.298;nodes:26;fails:6;restarts:0)(obj:36;t:0.316;nodes:34;fails:12;restarts:0)(obj:32;t:0.377;nodes:67;fails:43;restarts:0)(obj:30;t:0.477;nodes:129;fails:103;restarts:0)(obj:28;t:0.495;nodes:142;fails:114;restarts:0)(obj:26;t:0.503;nodes:150;fails:120;restarts:0),true,389.767,735846,735831,0,2048.00,311,281,274,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/qap/qapdata/esc16g.dat
data/qap/qapdata/esc16e.dat,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:38;t:0.494;nodes:16;fails:0;restarts:0)(obj:34;t:0.523;nodes:29;fails:11;restarts:0)(obj:30;t:0.927;nodes:194;fails:174;restarts:0)(obj:28;t:5.603;nodes:5843;fails:5821;restarts:0),true,664.930,1485669,1485662,0,2048.00,310,282,274,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/qap/qapdata/esc16e.dat
data/qap/qapdata/had12.dat,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:1864;t:0.262;nodes:12;fails:0;restarts:0)(obj:1860;t:0.438;nodes:107;fails:93;restarts:0)(obj:1854;t:0.499;nodes:178;fails:163;restarts:0)(obj:1850;t:0.500;nodes:181;fails:164;restarts:0)(obj:1842;t:0.578;nodes:333;fails:314;restarts:0)(obj:1820;t:0.596;nodes:382;fails:360;restarts:0)(obj:1818;t:1.199;nodes:678;fails:655;restarts:0)(obj:1790;t:1.217;nodes:750;fails:725;restarts:0)(obj:1772;t:1.244;nodes:798;fails:771;restarts:0)(obj:1760;t:1.658;nodes:2259;fails:2230;restarts:0)(obj:1756;t:3.644;nodes:4109;fails:4078;restarts:0)(obj:1750;t:3.745;nodes:4218;fails:4185;restarts:0)(obj:1746;t:4.807;nodes:6181;fails:6147;restarts:0)(obj:1742;t:7.048;nodes:10882;fails:10844;restarts:0)(obj:1736;t:7.249;nodes:11822;fails:11783;restarts:0)(obj:1732;t:7.249;nodes:11825;fails:11783;restarts:0)(obj:1728;t:13.217;nodes:32435;fails:32391;restarts:0)(obj:1724;t:13.222;nodes:32459;fails:32414;restarts:0)(obj:1720;t:13.228;nodes:32489;fails:32443;restarts:0)(obj:1712;t:13.643;nodes:34585;fails:34536;restarts:0)(obj:1710;t:13.660;nodes:34675;fails:34625;restarts:0)(obj:1708;t:13.791;nodes:35275;fails:35222;restarts:0)(obj:1700;t:288.549;nodes:1311586;fails:1311531;restarts:0)(obj:1698;t:288.651;nodes:1312116;fails:1312061;restarts:0)(obj:1696;t:881.403;nodes:4081637;fails:4081580;restarts:0)(obj:1690;t:881.404;nodes:4081640;fails:4081580;restarts:0)(obj:1686;t:1007.522;nodes:4685262;fails:4685199;restarts:0)(obj:1680;t:1018.967;nodes:4740504;fails:4740439;restarts:0),false,1800.020,8487465,8487400,0,2048.00,286,169,158,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/qap/qapdata/had12.dat
data/qap/qapdata/nug16a.dat,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:2052;t:0.574;nodes:16;fails:0;restarts:0)(obj:2036;t:0.577;nodes:17;fails:0;restarts:0)(obj:2024;t:0.582;nodes:20;fails:0;restarts:0)(obj:2012;t:0.661;nodes:55;fails:33;restarts:0)(obj:2004;t:0.663;nodes:56;fails:33;restarts:0)(obj:1994;t:0.735;nodes:87;fails:61;restarts:0)(obj:1990;t:0.737;nodes:88;fails:61;restarts:0)(obj:1980;t:0.788;nodes:107;fails:78;restarts:0)(obj:1978;t:1.312;nodes:509;fails:478;restarts:0)(obj:1974;t:2.472;nodes:2007;fails:1974;restarts:0)(obj:1960;t:5.171;nodes:4165;fails:4129;restarts:0)(obj:1934;t:5.323;nodes:4310;fails:4272;restarts:0)(obj:1922;t:5.464;nodes:4782;fails:4743;restarts:0)(obj:1904;t:9.066;nodes:11927;fails:11886;restarts:0)(obj:1886;t:9.167;nodes:12016;fails:11973;restarts:0)(obj:1876;t:9.169;nodes:12021;fails:11976;restarts:0)(obj:1874;t:10.324;nodes:15471;fails:15423;restarts:0)(obj:1856;t:10.334;nodes:15508;fails:15459;restarts:0)(obj:1848;t:10.336;nodes:15515;fails:15465;restarts:0)(obj:1840;t:67.220;nodes:220596;fails:220543;restarts:0)(obj:1832;t:68.235;nodes:224664;fails:224611;restarts:0)(obj:1830;t:138.660;nodes:467055;fails:466997;restarts:0)(obj:1828;t:138.677;nodes:467120;fails:467060;restarts:0)(obj:1820;t:349.129;nodes:1239872;fails:1239810;restarts:0)(obj:1816;t:349.135;nodes:1239897;fails:1239833;restarts:0)(obj:1800;t:349.138;nodes:1239908;fails:1239842;restarts:0)(obj:1794;t:709.111;nodes:2437718;fails:2437650;restarts:0)(obj:1788;t:723.062;nodes:2485933;fails:2485863;restarts:0)(obj:1786;t:724.529;nodes:2491278;fails:2491207;restarts:0)(obj:1776;t:724.933;nodes:2492753;fails:2492680;restarts:0)(obj:1770;t:877.842;nodes:3021075;fails:3020999;restarts:0)(obj:1760;t:1264.320;nodes:4381296;fails:4381218;restarts:0)(obj:1748;t:1264.323;nodes:4381305;fails:4381225;restarts:0)(obj:1740;t:1264.654;nodes:4382480;fails:4382398;restarts:0),false,1800.024,6125848,6125768,0,2048.00,500,289,274,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/qap/qapdata/nug16a.dat
data/qap/qapdata/nug14.dat,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=GREEDY;best=NONE;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:1352;t:0.285;nodes:14;fails:0;restarts:0)(obj:1272;t:0.310;nodes:15;fails:0;restarts:0)(obj:1270;t:0.316;nodes:18;fails:0;restarts:0)(obj:1262;t:0.348;nodes:33;fails:13;restarts:0)(obj:1242;t:0.358;nodes:42;fails:21;restarts:0)(obj:1236;t:0.364;nodes:49;fails:26;restarts:0)(obj:1210;t:0.622;nodes:279;fails:254;restarts:0)(obj:1208;t:4.149;nodes:4485;fails:4458;restarts:0)(obj:1206;t:4.183;nodes:4557;fails:4528;restarts:0)(obj:1198;t:5.538;nodes:6162;fails:6132;restarts:0)(obj:1186;t:14.218;nodes:31276;fails:31242;restarts:0)(obj:1182;t:71.242;nodes:259498;fails:259465;restarts:0)(obj:1166;t:72.867;nodes:266846;fails:266813;restarts:0)(obj:1162;t:78.899;nodes:293481;fails:293444;restarts:0)(obj:1160;t:145.994;nodes:581445;fails:581403;restarts:0)(obj:1156;t:226.205;nodes:912696;fails:912652;restarts:0)(obj:1152;t:226.293;nodes:913092;fails:913049;restarts:0)(obj:1148;t:276.626;nodes:1118428;fails:1118381;restarts:0)(obj:1142;t:331.682;nodes:1335088;fails:1335039;restarts:0)(obj:1136;t:486.910;nodes:1965217;fails:1965166;restarts:0)(obj:1128;t:654.681;nodes:2610516;fails:2610463;restarts:0)(obj:1118;t:938.265;nodes:3789866;fails:3789811;restarts:0)(obj:1108;t:1061.388;nodes:4305674;fails:4305617;restarts:0)(obj:1102;t:1670.504;nodes:6703025;fails:6702967;restarts:0),false,1800.017,7218576,7218522,0,2048.00,382,225,212,-f -varh DOMWDEG -lc 1 -valsel GREEDY;None;1;false -restarts NONE;0;1.0;0;false -limit 00h30m00s data/qap/qapdata/nug14.dat
