instance,maxRuntime,variableSelection,valueSelection,restarts,solutionsOverTime,isOptimal,runtime,nodes,fails,restarts,memory,vars,varsWithoutView,constraints,args
data/tsp/uncompressed/tsplib/u159.xml,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=None;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,2.471,1,0,0,2048.00,333,332,174,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/tsp/uncompressed/tsplib/u159.xml
data/tsp/uncompressed/tsplib/br17.xml,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=None;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:312;t:0.073;nodes:16;fails:0;restarts:0)(obj:288;t:0.074;nodes:20;fails:2;restarts:0)(obj:276;t:0.074;nodes:21;fails:2;restarts:0)(obj:267;t:0.075;nodes:23;fails:3;restarts:0)(obj:266;t:0.076;nodes:24;fails:4;restarts:0)(obj:265;t:0.077;nodes:28;fails:4;restarts:0)(obj:264;t:0.077;nodes:30;fails:4;restarts:0)(obj:262;t:0.079;nodes:37;fails:9;restarts:0)(obj:257;t:0.081;nodes:43;fails:14;restarts:0)(obj:256;t:0.082;nodes:44;fails:14;restarts:0)(obj:255;t:0.092;nodes:76;fails:44;restarts:0)(obj:254;t:0.096;nodes:91;fails:57;restarts:0)(obj:245;t:0.114;nodes:219;fails:181;restarts:0)(obj:240;t:0.115;nodes:220;fails:181;restarts:0)(obj:238;t:0.115;nodes:223;fails:181;restarts:0)(obj:232;t:0.116;nodes:230;fails:185;restarts:0)(obj:227;t:0.116;nodes:231;fails:185;restarts:0)(obj:225;t:0.117;nodes:238;fails:191;restarts:0)(obj:222;t:0.118;nodes:255;fails:206;restarts:0)(obj:220;t:0.121;nodes:292;fails:241;restarts:0)(obj:219;t:0.121;nodes:293;fails:241;restarts:0)(obj:218;t:0.122;nodes:303;fails:249;restarts:0)(obj:217;t:0.123;nodes:314;fails:259;restarts:0)(obj:214;t:0.129;nodes:414;fails:354;restarts:0)(obj:213;t:0.129;nodes:415;fails:354;restarts:0)(obj:211;t:0.130;nodes:419;fails:356;restarts:0)(obj:204;t:0.130;nodes:428;fails:363;restarts:0)(obj:203;t:0.131;nodes:434;fails:369;restarts:0)(obj:201;t:0.204;nodes:2379;fails:2311;restarts:0)(obj:198;t:0.239;nodes:3551;fails:3482;restarts:0)(obj:195;t:0.249;nodes:3953;fails:3881;restarts:0)(obj:194;t:0.250;nodes:3961;fails:3887;restarts:0)(obj:192;t:0.250;nodes:3971;fails:3894;restarts:0)(obj:189;t:0.250;nodes:3972;fails:3894;restarts:0)(obj:184;t:0.251;nodes:4048;fails:3969;restarts:0)(obj:181;t:0.253;nodes:4117;fails:4035;restarts:0)(obj:179;t:0.254;nodes:4139;fails:4055;restarts:0)(obj:176;t:0.254;nodes:4157;fails:4071;restarts:0)(obj:174;t:0.254;nodes:4175;fails:4086;restarts:0)(obj:171;t:0.255;nodes:4177;fails:4086;restarts:0)(obj:170;t:0.255;nodes:4187;fails:4094;restarts:0)(obj:165;t:0.255;nodes:4189;fails:4094;restarts:0)(obj:160;t:0.258;nodes:4342;fails:4246;restarts:0)(obj:154;t:0.259;nodes:4383;fails:4286;restarts:0)(obj:149;t:0.263;nodes:4549;fails:4449;restarts:0)(obj:148;t:0.329;nodes:7499;fails:7393;restarts:0)(obj:146;t:0.329;nodes:7508;fails:7401;restarts:0)(obj:143;t:0.330;nodes:7509;fails:7401;restarts:0)(obj:141;t:0.330;nodes:7525;fails:7414;restarts:0)(obj:138;t:0.330;nodes:7526;fails:7414;restarts:0)(obj:136;t:0.335;nodes:7809;fails:7694;restarts:0)(obj:133;t:0.335;nodes:7810;fails:7694;restarts:0)(obj:131;t:0.335;nodes:7818;fails:7701;restarts:0)(obj:128;t:0.336;nodes:7829;fails:7710;restarts:0)(obj:127;t:0.339;nodes:7982;fails:7859;restarts:0)(obj:125;t:0.339;nodes:7984;fails:7860;restarts:0)(obj:122;t:0.339;nodes:7989;fails:7862;restarts:0)(obj:120;t:0.339;nodes:8020;fails:7891;restarts:0)(obj:117;t:0.339;nodes:8021;fails:7891;restarts:0)(obj:116;t:0.342;nodes:8145;fails:8016;restarts:0)(obj:114;t:0.343;nodes:8163;fails:8031;restarts:0)(obj:113;t:0.352;nodes:8671;fails:8536;restarts:0)(obj:110;t:0.352;nodes:8676;fails:8537;restarts:0)(obj:108;t:0.353;nodes:8744;fails:8603;restarts:0)(obj:105;t:0.353;nodes:8745;fails:8603;restarts:0)(obj:104;t:0.359;nodes:9040;fails:8898;restarts:0)(obj:102;t:0.360;nodes:9102;fails:8959;restarts:0)(obj:101;t:0.438;nodes:13345;fails:13198;restarts:0)(obj:98;t:0.438;nodes:13356;fails:13208;restarts:0)(obj:97;t:0.441;nodes:13510;fails:13357;restarts:0)(obj:95;t:0.441;nodes:13512;fails:13358;restarts:0)(obj:92;t:0.441;nodes:13517;fails:13360;restarts:0)(obj:90;t:0.441;nodes:13548;fails:13389;restarts:0)(obj:87;t:0.441;nodes:13549;fails:13389;restarts:0)(obj:86;t:0.462;nodes:14768;fails:14609;restarts:0)(obj:84;t:0.464;nodes:14914;fails:14752;restarts:0)(obj:82;t:0.503;nodes:17143;fails:16977;restarts:0)(obj:79;t:0.652;nodes:25788;fails:25619;restarts:0)(obj:74;t:0.652;nodes:25804;fails:25635;restarts:0)(obj:73;t:0.657;nodes:26103;fails:25933;restarts:0)(obj:71;t:0.657;nodes:26126;fails:25953;restarts:0)(obj:68;t:0.657;nodes:26127;fails:25954;restarts:0)(obj:66;t:0.660;nodes:26304;fails:26126;restarts:0)(obj:63;t:0.660;nodes:26305;fails:26127;restarts:0)(obj:58;t:0.660;nodes:26329;fails:26147;restarts:0)(obj:57;t:0.662;nodes:26484;fails:26302;restarts:0)(obj:55;t:0.662;nodes:26492;fails:26306;restarts:0)(obj:52;t:0.662;nodes:26493;fails:26307;restarts:0)(obj:48;t:0.699;nodes:28579;fails:28390;restarts:0)(obj:47;t:0.701;nodes:28709;fails:28518;restarts:0)(obj:45;t:0.701;nodes:28726;fails:28533;restarts:0)(obj:42;t:0.701;nodes:28727;fails:28534;restarts:0)(obj:40;t:0.746;nodes:31477;fails:31282;restarts:0),false,1.025,46711,46517,0,2048.00,37,36,20,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/tsp/uncompressed/tsplib/br17.xml
data/tsp/uncompressed/tsplib/rbg358.xml,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=None;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.010,90,0,0,2048.00,737,736,379,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/tsp/uncompressed/tsplib/rbg358.xml
data/tsp/uncompressed/tsplib/bier127.xml,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=None;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,4.195,1,0,0,2048.00,268,267,141,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/tsp/uncompressed/tsplib/bier127.xml
data/tsp/uncompressed/tsplib/d1291.xml,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=None;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,109.563,1,0,0,6512.00,2620,2619,1329,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/tsp/uncompressed/tsplib/d1291.xml
data/tsp/uncompressed/tsplib/rl1323.xml,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=None;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,496.995,1,0,0,23824.00,2685,2684,1362,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/tsp/uncompressed/tsplib/rl1323.xml
data/tsp/uncompressed/tsplib/d493.xml,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=None;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,13.768,1,0,0,4096.00,1011,1010,518,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/tsp/uncompressed/tsplib/d493.xml
data/tsp/uncompressed/tsplib/st70.xml,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=None;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:3447;t:0.115;nodes:69;fails:0;restarts:0)(obj:3405;t:0.117;nodes:72;fails:3;restarts:0)(obj:3387;t:0.119;nodes:76;fails:5;restarts:0)(obj:3370;t:0.120;nodes:78;fails:6;restarts:0)(obj:3366;t:0.124;nodes:86;fails:11;restarts:0)(obj:3362;t:0.125;nodes:88;fails:11;restarts:0)(obj:3353;t:0.125;nodes:89;fails:11;restarts:0)(obj:3349;t:0.126;nodes:92;fails:12;restarts:0)(obj:3320;t:0.127;nodes:93;fails:12;restarts:0)(obj:3319;t:0.128;nodes:96;fails:13;restarts:0)(obj:3316;t:0.129;nodes:97;fails:13;restarts:0)(obj:3307;t:0.132;nodes:105;fails:18;restarts:0)(obj:3305;t:0.134;nodes:112;fails:22;restarts:0)(obj:3283;t:0.135;nodes:114;fails:24;restarts:0)(obj:3281;t:0.136;nodes:118;fails:25;restarts:0)(obj:3276;t:0.136;nodes:120;fails:25;restarts:0)(obj:3270;t:0.137;nodes:121;fails:25;restarts:0)(obj:3268;t:0.138;nodes:127;fails:27;restarts:0)(obj:3244;t:0.139;nodes:128;fails:27;restarts:0)(obj:3241;t:0.144;nodes:149;fails:46;restarts:0)(obj:3229;t:0.144;nodes:151;fails:47;restarts:0)(obj:3227;t:0.145;nodes:155;fails:49;restarts:0)(obj:3212;t:0.147;nodes:164;fails:56;restarts:0)(obj:3211;t:0.148;nodes:167;fails:58;restarts:0)(obj:3207;t:0.149;nodes:171;fails:59;restarts:0)(obj:3204;t:0.150;nodes:172;fails:59;restarts:0)(obj:3197;t:0.151;nodes:181;fails:66;restarts:0)(obj:3194;t:0.152;nodes:183;fails:66;restarts:0)(obj:3181;t:0.155;nodes:196;fails:78;restarts:0)(obj:3166;t:0.161;nodes:234;fails:110;restarts:0)(obj:3158;t:0.171;nodes:305;fails:182;restarts:0)(obj:3151;t:0.171;nodes:309;fails:185;restarts:0)(obj:3150;t:0.197;nodes:547;fails:422;restarts:0)(obj:3142;t:0.197;nodes:548;fails:422;restarts:0)(obj:3140;t:0.223;nodes:832;fails:703;restarts:0)(obj:3138;t:0.239;nodes:1030;fails:898;restarts:0)(obj:3136;t:0.240;nodes:1036;fails:902;restarts:0)(obj:3134;t:0.251;nodes:1178;fails:1042;restarts:0)(obj:3133;t:0.252;nodes:1179;fails:1042;restarts:0)(obj:3129;t:0.271;nodes:1459;fails:1318;restarts:0)(obj:3126;t:0.278;nodes:1560;fails:1417;restarts:0)(obj:3125;t:0.292;nodes:1822;fails:1675;restarts:0)(obj:3121;t:0.300;nodes:1958;fails:1810;restarts:0)(obj:3116;t:0.301;nodes:1970;fails:1821;restarts:0)(obj:3114;t:0.302;nodes:1990;fails:1839;restarts:0)(obj:3107;t:0.302;nodes:1994;fails:1841;restarts:0)(obj:3105;t:0.323;nodes:2330;fails:2174;restarts:0)(obj:3102;t:0.439;nodes:4384;fails:4226;restarts:0)(obj:3100;t:0.439;nodes:4385;fails:4226;restarts:0)(obj:3097;t:0.440;nodes:4392;fails:4233;restarts:0)(obj:3094;t:0.447;nodes:4533;fails:4370;restarts:0)(obj:3092;t:0.506;nodes:5726;fails:5559;restarts:0)(obj:3088;t:0.507;nodes:5752;fails:5583;restarts:0)(obj:3082;t:0.508;nodes:5753;fails:5583;restarts:0)(obj:3075;t:0.544;nodes:6506;fails:6334;restarts:0)(obj:3073;t:0.730;nodes:10497;fails:10323;restarts:0)(obj:3072;t:0.827;nodes:12540;fails:12364;restarts:0)(obj:3066;t:0.828;nodes:12570;fails:12390;restarts:0),false,1.019,16139,15962,0,2048.00,151,150,81,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/tsp/uncompressed/tsplib/st70.xml
data/tsp/uncompressed/tsplib/kroE100.xml,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=None;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:168443;t:0.818;nodes:99;fails:0;restarts:0)(obj:167107;t:0.821;nodes:102;fails:2;restarts:0)(obj:166736;t:0.823;nodes:104;fails:3;restarts:0)(obj:165813;t:0.824;nodes:106;fails:3;restarts:0)(obj:164817;t:0.825;nodes:107;fails:3;restarts:0)(obj:164378;t:0.827;nodes:113;fails:6;restarts:0)(obj:164372;t:0.828;nodes:115;fails:6;restarts:0)(obj:164283;t:0.829;nodes:116;fails:6;restarts:0)(obj:161497;t:0.831;nodes:121;fails:7;restarts:0)(obj:161416;t:0.831;nodes:122;fails:7;restarts:0)(obj:160955;t:0.834;nodes:128;fails:10;restarts:0)(obj:160901;t:0.834;nodes:129;fails:10;restarts:0)(obj:160857;t:0.837;nodes:133;fails:14;restarts:0)(obj:160319;t:0.838;nodes:141;fails:17;restarts:0)(obj:159709;t:0.839;nodes:143;fails:19;restarts:0)(obj:159558;t:0.841;nodes:146;fails:22;restarts:0)(obj:158709;t:0.849;nodes:184;fails:54;restarts:0)(obj:158602;t:0.851;nodes:188;fails:60;restarts:0)(obj:158390;t:0.854;nodes:199;fails:67;restarts:0)(obj:157704;t:0.855;nodes:204;fails:69;restarts:0)(obj:157530;t:0.876;nodes:334;fails:199;restarts:0)(obj:157292;t:0.880;nodes:364;fails:225;restarts:0)(obj:156532;t:0.890;nodes:439;fails:298;restarts:0)(obj:156526;t:0.893;nodes:458;fails:315;restarts:0)(obj:156316;t:0.894;nodes:472;fails:327;restarts:0)(obj:156281;t:0.900;nodes:515;fails:371;restarts:0)(obj:156132;t:0.902;nodes:526;fails:379;restarts:0)(obj:155914;t:0.918;nodes:672;fails:520;restarts:0)(obj:155786;t:0.918;nodes:674;fails:521;restarts:0)(obj:155637;t:0.922;nodes:711;fails:558;restarts:0)(obj:155625;t:0.927;nodes:767;fails:611;restarts:0)(obj:155508;t:0.932;nodes:815;fails:657;restarts:0)(obj:155267;t:0.932;nodes:818;fails:660;restarts:0)(obj:155234;t:0.970;nodes:1243;fails:1080;restarts:0)(obj:154384;t:0.970;nodes:1244;fails:1080;restarts:0)(obj:154369;t:0.970;nodes:1245;fails:1081;restarts:0)(obj:154233;t:0.971;nodes:1254;fails:1089;restarts:0)(obj:154218;t:0.971;nodes:1255;fails:1089;restarts:0)(obj:153889;t:0.973;nodes:1276;fails:1106;restarts:0)(obj:153738;t:0.974;nodes:1285;fails:1113;restarts:0)(obj:153676;t:0.982;nodes:1377;fails:1200;restarts:0)(obj:153525;t:0.982;nodes:1384;fails:1206;restarts:0),false,1.018,1596,1420,0,2048.00,213,212,113,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/tsp/uncompressed/tsplib/kroE100.xml
data/tsp/uncompressed/tsplib/pcb3038.xml,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=None;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,642.070,1,0,0,18000.00,6519,6518,3481,-f -varh DOMWDEG -lc 1 -valsel MIN;BestSubset;1;false -restarts NONE;0;1.0;0;false -limit 00h00m01s data/tsp/uncompressed/tsplib/pcb3038.xml
