instance,maxRuntime,variableSelection,valueSelection,restarts,solutionsOverTime,isOptimal,runtime,nodes,fails,restarts,memory,vars,varsWithoutView,constraints,args
data/xcsp/cop23/AircraftAssemblyLine-1-178-00-0_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.840,1,0,0,3920.00,3246,875,2690,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-00-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-20-0_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.894,1,0,0,3904.00,2730,769,2387,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-20-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-20-1_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.794,1,0,0,3696.00,2598,770,2294,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-20-1_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-20-2_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.776,1,0,0,3552.00,2633,772,2285,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-20-2_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-50-0_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.682,1,0,0,3936.00,1940,614,1843,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-50-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-50-1_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.630,1,0,0,3680.00,1851,614,1888,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-50-1_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-50-2_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.676,1,0,0,3680.00,2048,618,1887,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-50-2_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-70-0_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.613,1,0,0,2944.00,1561,504,1589,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-70-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-70-1_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.607,1,0,0,2816.00,1452,504,1596,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-70-1_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-70-2_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.630,1,0,0,2896.00,1634,515,1609,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-70-2_c23.xml.lzma
