instance,maxRuntime,variableSelection,valueSelection,restarts,solutionsOverTime,isOptimal,runtime,nodes,fails,restarts,memory,vars,varsWithoutView,constraints,args
data/xcsp/cop23/AircraftAssemblyLine-1-178-00-0_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.059,11,0,0,6464.00,3246,875,2690,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-00-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-20-0_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.048,6,0,0,6848.00,2730,769,2387,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-20-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-20-1_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.021,16,0,0,6496.00,2598,770,2294,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-20-1_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-20-2_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.012,13,0,0,6928.00,2633,772,2285,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-20-2_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-50-0_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.068,9,0,0,6704.00,1940,614,1843,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-50-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-50-1_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.005,10,0,0,7168.00,1851,614,1888,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-50-1_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-50-2_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.072,18,0,0,6848.00,2048,618,1887,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-50-2_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-70-0_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.011,27,0,0,5184.00,1561,504,1589,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-70-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-70-1_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.023,19,0,0,6160.00,1452,504,1596,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-70-1_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-70-2_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.012,25,0,0,6784.00,1634,515,1609,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-1-178-70-2_c23.xml.lzma
